species,m_body_size,unsexed_body_size,m_bill_size,unsexed_bill_size
Accipiter cooperii,103.0,,,
Accipiter gentilis,712.0,,,
Accipiter striatus,103.0,,,
Acridotheres tristis,,137.0,,
Aechmophorus clarkii,1341.0,,,
Aechmophorus occidentalis,1429.0,,,
Aegolius acadicus,77.4,,11.66,
Aegolius funereus,101.0,100.0,20.2,
Aeronautes saxatalis,31.2,,5.82,
Aethia cristatella,267.7,,12.6,
Aethia pusilla,,81.4,9.3,
Aethia pygmaea,127.0,,9.3,
Agamia agami,535.0,,,
Agapornis roseicollis,,54.0,,
Agelaius phoeniceus,57.3,66.2,23.6,
Agelaius tricolor,67.5,,24.5,
Aimophila ruficeps,18.1,19.58,7.8,
Aix galericulata,628.0,,,
Aix sponsa,680.0,681.0,,
Alauda arvensis,38.2,,15.6,
Alca torda,734.0,,,
Alectoris chukar,536.0,,15.2,
Alle alle,154.0,,16.1,
Amandava amandava,10.0,,11.0,
Amazilia beryllina,4.8,,17.7,
Amazilia candida,4.5,,17.7,
Amazilia cyanocephala,6.5,,19.9,
Amazilia rutila,5.0,,23.4,
Amazilia tzacatl,5.3,,19.5,
Amazilia violiceps,,5.1,21.6,
Amazilia viridifrons,5.5,,18.8,
Amazilia yucatanensis,4.1,,20.9,
Amazona viridigenalis,,316.0,28.9,
Ammodramus bairdii,18.9,,10.7,
Ammodramus caudacutus,16.8,,8.3,
Ammodramus henslowii,12.8,,12.3,
Ammodramus leconteii,13.8,,9.1,
Ammodramus maritimus,24.3,,,
Ammodramus savannarum,17.7,,,
Amphispiza belli,18.5,,7.5,
Amphispiza bilineata,14.1,13.0916,10.9,
Anas acuta,1025.0,899.72,,
Anas americana,821.0,792.0,,
Anas bahamensis,503.0,,,
Anas clypeata,636.0,618.0,,
Anas crecca,322.0,360.0,,
Anas cyanoptera,408.0,,,
Anas discors,478.0,396.0,,
Anas falcata,713.0,,,
Anas formosa,437.0,,,
Anas fulvigula,1030.0,,,
Anas penelope,819.0,,,
Anas platyrhynchos,1210.0,1140.0,,
Anas querquedula,342.0,,,
Anas rubripes,1252.0,1400.0,,
Anas strepera,990.0,,,
Anhinga anhinga,,1337.5,81.2,
Anous minutus,,,44.1,
Anous stolidus,196.4,,40.8,
Anser albifrons,2853.0,2703.0,,
Anser anser,3692.0,3460.0,,
Anser brachyrhynchus,2770.0,,,
Anser cygnoides,3500.0,,,
Anser erythropus,1870.0,,,
Anser fabalis,3198.0,,,
Anthracothorax prevostii,7.0,,24.2,
Anthus cervinus,20.5,,14.7,
Anthus gustavi,,19.8,16.3,
Anthus hodgsoni,22.3,,15.0,
Anthus rubescens,21.6,21.8,11.9,
Anthus spragueii,22.8,,,
Anthus trivialis,21.7,,15.3,
Aphelocoma californica,98.4,,19.5,
Aphelocoma coerulescens,79.3,82.05,26.9,
Aphelocoma insularis,124.7,,23.5,
Aphelocoma ultramarina,131.5,119.65,,
Aphriza virgata,186.8,,24.1,
Apus apus,39.0,41.0,6.6,
Apus pacificus,42.4,,7.1,
Aquila chrysaetos,3572.0,,,
Aramus guarauna,1240.0,1085.0,126.0,
Archilochus alexandri,3.3,,17.9,
Archilochus colubris,3.4,2.8785,16.4,
Ardea cinerea,1505.0,,120.0,
Ardea herodias,2480.0,2576.0,137.0,
Arenaria interpres,108.0,,22.4,
Arenaria melanocephala,113.6,,22.5,
Arremonops rufivirgatus,23.2,23.6,13.1,
Asio flammeus,278.0,,28.5,
Asio otus,233.0,,27.4,
Atlapetes albinucha,,32.4,,
Atlapetes pileatus,,24.0,,
