,,,,,,,TAXONOMIC SOURCES,,,,,,,,,,,,,,,,,,,,
Family name,FamEnglish,Common name,Scientific name,Authority,"BirdLife taxonomic treatment:
R = recognised as a species;                  NR = not recognised as a species; 
UR = under review",2012 IUCN Red List category,1. AERC TAC (2003),2. AOU (1998 & supplements),3. Brooke (2004),4. Brooks (2000),5. Christidis & Boles (2008),6. Cramp et al. (1977-1994),7. Dowsett & Forbes-Watson (1993),8. Robertson & Nunn (1998),9. SACC (2005 & updates),"10. Sibley & Monroe (1990, 1993)",11. Stotz et al. (1996),12. Turbott (1990),13. Other source,"Other source citation (for full citation details for the main sources and Other source, see the References document in the zip download)",Synonyms (numbers 1­13 refer to numbering in TAXONOMIC SOURCES columns),Alternative common names (numbers 1-13 refer to numbering in TAXONOMIC SOURCES columns; 14=accented; 15=Gill & Wright (2006)),Taxonomic note,SpcRecID (unique value asigned to each taxonomic entity by BirdLife. Use this to compare year to year changes),,,
Tinamidae,Tinamous,Tawny-breasted Tinamou,Nothocercus julius,"(Bonaparte, 1854)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,17,,,
Tinamidae,Tinamous,Highland Tinamou,Nothocercus bonapartei,"Gray, 1867",R,LC,,Y,,,,,,,Y,Y,Y,,,,,,,16,,,
Tinamidae,Tinamous,Hooded Tinamou,Nothocercus nigrocapillus,"(G. R. Gray, 1867)",R,VU,,,,,,,,,Y,Y,Y,,,,,,,18,,,
Tinamidae,Tinamous,Grey Tinamou,Tinamus tao,"Temminck, 1815",R,VU,,,,,,,,,Y,Y,Y,,,,,Gray Tinamou (9);,,11,,,
Tinamidae,Tinamous,Solitary Tinamou,Tinamus solitarius,"(Vieillot, 1819)",R,NT,,,,,,,,,Y,Y,Y,,,,,,,12,,,
Tinamidae,Tinamous,Black Tinamou,Tinamus osgoodi,"Conover, 1949",R,VU,,,,,,,,,Y,Y,Y,,,,,,,13,,,
Tinamidae,Tinamous,Great Tinamou,Tinamus major,"(Gmelin, 1789)",R,NT,,Y,,,,,,,Y,Y,Y,,,,,,,14,,,
Tinamidae,Tinamous,White-throated Tinamou,Tinamus guttatus,"Pelzeln, 1863",R,NT,,,,,,,,,Y,Y,Y,,,,,,,15,,,
Tinamidae,Tinamous,Berlepsch's Tinamou,Crypturellus berlepschi,"Rothschild, 1897",R,LC,,,,,,,,,Y,Y,Y,,,,,,,19,,,
Tinamidae,Tinamous,Cinereous Tinamou,Crypturellus cinereus,"(Gmelin, 1789)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,20,,,
Tinamidae,Tinamous,Little Tinamou,Crypturellus soui,"(Hermann, 1783)",R,LC,,Y,,,,,,,Y,Y,Y,,,,,,,21,,,
Tinamidae,Tinamous,Tepui Tinamou,Crypturellus ptaritepui,"Zimmer & Phelps, 1945",R,LC,,,,,,,,,Y,Y,Y,,,,,Tepuí Tinamou (14);,,22,, ,
Tinamidae,Tinamous,Brown Tinamou,Crypturellus obsoletus,"(Temminck, 1815)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,23,,,
Tinamidae,Tinamous,Thicket Tinamou,Crypturellus cinnamomeus,"(Lesson, 1842)",R,LC,,Y,,,,,,,,Y,Y,,,,,,,24,,,
Tinamidae,Tinamous,Undulated Tinamou,Crypturellus undulatus,"(Temminck, 1815)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,25,,,
Tinamidae,Tinamous,Pale-browed Tinamou,Crypturellus transfasciatus,"(Sclater & Salvin, 1878)",R,NT,,,,,,,,,Y,Y,Y,,,,,,,26,,,
Tinamidae,Tinamous,Brazilian Tinamou,Crypturellus strigulosus,"(Temminck, 1815)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,27,,,
