lat,lon,genus,species,count
36.461944,-116.866667,Chaetodipus,penicillatus,52
36.461944,-116.866667,Chaetodipus,spp.,4
36.461944,-116.866667,Dipodomys,deserti,12
36.461944,-116.866667,Dipodomys,merriami,20
36.461944,-116.866667,Perognathus,longimembris,5
36.461944,-116.866667,Perognathus,parvus,9
36.461944,-116.866667,Neotoma,lepida,50
36.461944,-116.866667,Peromyscus,boylii,18
36.461944,-116.866667,Peromyscus,crinitus,79
36.461944,-116.866667,Peromyscus,eremicus,59
36.461944,-116.866667,Peromyscus,maniculatus,78
36.461944,-116.866667,Peromyscus,spp.,6
36.461944,-116.866667,Peromyscus,truei,47
36.461944,-116.866667,Tamias,panamintinus,2
33.837197,-115.952919,Chaetodipus,fallax,16
33.837197,-115.952919,Chaetodipus,formosus,3
33.837197,-115.952919,Chaetodipus,penicillatus,10
33.837197,-115.952919,Chaetodipus,spinatus,11
33.837197,-115.952919,Chaetodipus,spp.,3
33.837197,-115.952919,Dipodomys,merriami,77
33.837197,-115.952919,Perognathus,longimembris,45
33.837197,-115.952919,Neotoma,lepida,16
33.837197,-115.952919,Onychomys,torridus,2
33.837197,-115.952919,Peromyscus,boylii,3
33.837197,-115.952919,Peromyscus,crinitus,12
33.837197,-115.952919,Peromyscus,eremicus,17
33.837197,-115.952919,Peromyscus,maniculatus,1
33.837197,-115.952919,Peromyscus,spp.,1
33.837197,-115.952919,Peromyscus,truei,4
33.837197,-115.952919,Ammospermophilus,leucurus,3
36,-114.460561,Chaetodipus,formosus,11
36,-114.460561,Chaetodipus,spinatus,1
36,-114.460561,Chaetodipus,spp.,10
36,-114.460561,Dipodomys,deserti,1
36,-114.460561,Dipodomys,merriami,16
36,-114.460561,Perognathus,longimembris,5
36,-114.460561,Mus,musculus,4
36,-114.460561,Neotoma,devia,4
36,-114.460561,Neotoma,lepida,11
36,-114.460561,Peromyscus,boylii,8
36,-114.460561,Peromyscus,crinitus,31
36,-114.460561,Peromyscus,eremicus,79
36,-114.460561,Peromyscus,spp.,3
36,-114.460561,Peromyscus,truei,3
36,-114.460561,Ammospermophilus,harrisii,2
36,-114.460561,Tamias,dorsalis,1
36.727447,-118.153897,Dipodomys,merriami,29
36.727447,-118.153897,Dipodomys,panamintinus,1
36.727447,-118.153897,Perognathus,longimembris,12
36.727447,-118.153897,Microtus,californicus,2
36.727447,-118.153897,Neotoma,lepida,1
36.727447,-118.153897,Onychomys,torridus,2
36.727447,-118.153897,Peromyscus,boylii,27
36.727447,-118.153897,Peromyscus,maniculatus,42
36.727447,-118.153897,Reithrodontomys,megalotis,6
36.727447,-118.153897,Ammospermophilus,leucurus,1
35.042881,-115.40036,Chaetodipus,fallax,3
35.042881,-115.40036,Chaetodipus,formosus,13
35.042881,-115.40036,Chaetodipus,penicillatus,12
35.042881,-115.40036,Chaetodipus,spinatus,12
35.042881,-115.40036,Chaetodipus,spp.,3
35.042881,-115.40036,Dipodomys,deserti,6
35.042881,-115.40036,Dipodomys,merriami,28
35.042881,-115.40036,Dipodomys,panamintinus,1
35.042881,-115.40036,Perognathus,longimembris,2
54.96667,-131.31667,Canis,lupus,
54.96667,-131.31667,Odocoileus,hemionus,
54.96667,-131.31667,Peromyscus,keeni,55
54.96667,-131.31667,Neovison,vison,1
54.96667,-131.31667,Sorex,monticolus,8
55.38333,-132.41667,Castor,canadensis,
55.38333,-132.41667,Odocoileus,hemionus,
55.38333,-132.41667,Microtus,longicaudus,1
55.38333,-132.41667,Peromyscus,keeni,69
55.38333,-132.41667,Lontra,canadensis,1
55.38333,-132.41667,Sorex,monticolus,21
55.38333,-132.41667,Ursus,americanus,
55.7,-132.71667,Odocoileus,hemionus,
55.7,-132.71667,Peromyscus,keeni,5
55.7,-132.71667,Sorex,monticolus,11
56.51667,-132.45,Sorex,cinereus,5
56.51667,-132.45,Ursus,spp.,
57.41667,-133.93333,Odocoileus,hemionus,
57.41667,-133.93333,Peromyscus,keeni,53
57.41667,-133.93333,Lontra,canadensis,1
57.41667,-133.93333,Sorex,monticolus,7
57.21667,-133.48333,Odocoileus,hemionus,
57.21667,-133.48333,Myodes,rutilus,22
57.21667,-133.48333,Peromyscus,keeni,2
57.21667,-133.48333,Sorex,cinereus,6
57.21667,-133.48333,Sorex,monticolus,8
58.03333,-133.95,Odocoileus,hemionus,
58.03333,-133.95,Myodes,rutilus,8
58.03333,-133.95,Microtus,longicaudus,2
58.03333,-133.95,Peromyscus,keeni,35
58.03333,-133.95,Synaptomys,borealis,1
58.03333,-133.95,Neovison,vison,1
58.03333,-133.95,Sorex,cinereus,9
58.03333,-133.95,Sorex,monticolus,3
36.461944,-116.866667,Chaetodipus,formosus,22
35.042881,-115.40036,Neotoma,lepida,81
35.042881,-115.40036,Peromyscus,boylii,50
35.042881,-115.40036,Peromyscus,crinitus,44
35.042881,-115.40036,Peromyscus,eremicus,74
35.042881,-115.40036,Peromyscus,maniculatus,9
35.042881,-115.40036,Peromyscus,spp.,7
35.042881,-115.40036,Peromyscus,truei,14
35.042881,-115.40036,Ammospermophilus,leucurus,2
44.637175,-123.310781,Zapus,trinotatus,1
44.637175,-123.310781,Myodes,californicus,16
44.637175,-123.310781,Microtus,oregoni,29
44.637175,-123.310781,Mus,musculus,1
44.637175,-123.310781,Neotoma,cinerea,1
44.637175,-123.310781,Neotoma,fuscipes,2
44.637175,-123.310781,Peromyscus,maniculatus,910
44.637175,-123.310781,Mustela,erminea,4
44.637175,-123.310781,Glaucomys,sabrinus,27
44.637175,-123.310781,Tamias,townsendii,98
44.637175,-123.310781,Neurotrichus,gibbsii,4
44.637175,-123.310781,Sorex,bairdi,12
44.637175,-123.310781,Sorex,pacificus,33
44.637175,-123.310781,Sorex,sonomae,17
44.637175,-123.310781,Sorex,trowbridgii,195
44.637175,-123.310781,Sorex,vagrans,5
44.637175,-123.310781,Zapus,trinotatus,4
44.637175,-123.310781,Myodes,californicus,22
44.637175,-123.310781,Microtus,oregoni,83
44.637175,-123.310781,Neotoma,fuscipes,15
44.637175,-123.310781,Peromyscus,maniculatus,1074
44.637175,-123.310781,Mustela,erminea,8
44.637175,-123.310781,Glaucomys,sabrinus,18
44.637175,-123.310781,Tamias,townsendii,261
44.637175,-123.310781,Tamiasciurus,douglasii,1
44.637175,-123.310781,Sorex,bairdi,24
44.637175,-123.310781,Sorex,pacificus,74
44.637175,-123.310781,Sorex,sonomae,37
44.637175,-123.310781,Sorex,trowbridgii,182
44.637175,-123.310781,Sorex,vagrans,18
44.637175,-123.310781,Scapanus,orarius,1
44.637175,-123.310781,Zapus,trinotatus,26
44.637175,-123.310781,Sylvilagus,bachmani,1
44.637175,-123.310781,Myodes,californicus,4
44.637175,-123.310781,Microtus,oregoni,74
44.637175,-123.310781,Neotoma,fuscipes,35
44.637175,-123.310781,Peromyscus,maniculatus,1293
44.637175,-123.310781,Mustela,erminea,8
44.637175,-123.310781,Spermophilus,beecheyi,7
44.637175,-123.310781,Tamias,townsendii,336
44.637175,-123.310781,Sorex,bairdi,14
44.637175,-123.310781,Sorex,pacificus,43
44.637175,-123.310781,Sorex,sonomae,23
44.637175,-123.310781,Sorex,trowbridgii,145
44.637175,-123.310781,Sorex,vagrans,34
44.637175,-123.310781,Zapus,trinotatus,10
44.637175,-123.310781,Myodes,californicus,137
44.637175,-123.310781,Neotoma,fuscipes,52
44.637175,-123.310781,Peromyscus,maniculatus,1158
44.637175,-123.310781,Mustela,erminea,11
44.637175,-123.310781,Spermophilus,beecheyi,12
44.637175,-123.310781,Tamias,townsendii,208
44.637175,-123.310781,Sorex,bairdi,8
44.637175,-123.310781,Sorex,pacificus,18
44.637175,-123.310781,Sorex,sonomae,18
44.637175,-123.310781,Sorex,trowbridgii,111
44.637175,-123.310781,Sorex,vagrans,80
44.637175,-123.310781,Zapus,trinotatus,8
44.637175,-123.310781,Sylvilagus,bachmani,3
44.637175,-123.310781,Myodes,californicus,25
44.637175,-123.310781,Microtus,oregoni,64
44.637175,-123.310781,Neotoma,fuscipes,29
44.637175,-123.310781,Peromyscus,maniculatus,1047
44.637175,-123.310781,Mustela,erminea,8
44.637175,-123.310781,Glaucomys,sabrinus,21
44.637175,-123.310781,Spermophilus,beecheyi,1
44.637175,-123.310781,Tamias,townsendii,350
44.637175,-123.310781,Tamiasciurus,douglasii,13
44.637175,-123.310781,Neurotrichus,gibbsii,4
44.637175,-123.310781,Sorex,bairdi,24
44.637175,-123.310781,Sorex,pacificus,87
44.637175,-123.310781,Sorex,sonomae,24
44.637175,-123.310781,Sorex,trowbridgii,281
44.637175,-123.310781,Sorex,vagrans,16
44.637175,-123.310781,Scapanus,orarius,2
44.637175,-123.310781,Zapus,trinotatus,5
44.637175,-123.310781,Sylvilagus,bachmani,2
44.637175,-123.310781,Myodes,californicus,35
44.637175,-123.310781,Microtus,oregoni,109
44.637175,-123.310781,Mus,musculus,1
44.637175,-123.310781,Neotoma,cinerea,1
44.637175,-123.310781,Neotoma,fuscipes,25
44.637175,-123.310781,Peromyscus,maniculatus,1045
44.637175,-123.310781,Mustela,erminea,5
44.637175,-123.310781,Glaucomys,sabrinus,36
44.637175,-123.310781,Spermophilus,beecheyi,1
44.637175,-123.310781,Tamias,townsendii,336
44.637175,-123.310781,Tamiasciurus,douglasii,1
44.637175,-123.310781,Neurotrichus,gibbsii,1
44.637175,-123.310781,Sorex,bairdi,15
44.637175,-123.310781,Sorex,pacificus,87
44.637175,-123.310781,Sorex,sonomae,30
44.637175,-123.310781,Sorex,trowbridgii,251
44.637175,-123.310781,Sorex,vagrans,25
44.637175,-123.310781,Scapanus,orarius,1
44.637175,-123.310781,Didelphis,virginiana,1
44.637175,-123.310781,Zapus,trinotatus,26
44.637175,-123.310781,Sylvilagus,bachmani,1
44.637175,-123.310781,Myodes,californicus,2
44.637175,-123.310781,Microtus,oregoni,79
44.637175,-123.310781,Microtus,townsendii,2
44.637175,-123.310781,Neotoma,fuscipes,127
44.637175,-123.310781,Peromyscus,maniculatus,1261
44.637175,-123.310781,Mustela,erminea,9
44.637175,-123.310781,Spermophilus,beecheyi,9
44.637175,-123.310781,Tamias,townsendii,300
44.637175,-123.310781,Neurotrichus,gibbsii,1
44.637175,-123.310781,Sorex,bairdi,4
44.637175,-123.310781,Sorex,pacificus,7
44.637175,-123.310781,Sorex,sonomae,10
44.637175,-123.310781,Sorex,trowbridgii,174
44.637175,-123.310781,Sorex,vagrans,57
44.637175,-123.310781,Zapus,trinotatus,30
44.637175,-123.310781,Myodes,californicus,1
44.637175,-123.310781,Microtus,oregoni,209
44.637175,-123.310781,Neotoma,fuscipes,53
44.637175,-123.310781,Peromyscus,maniculatus,1012
44.637175,-123.310781,Mustela,erminea,11
44.637175,-123.310781,Spermophilus,beecheyi,21
44.637175,-123.310781,Tamias,townsendii,310
44.637175,-123.310781,Neurotrichus,gibbsii,1
44.637175,-123.310781,Sorex,bairdi,8
44.637175,-123.310781,Sorex,pacificus,29
44.637175,-123.310781,Sorex,sonomae,13
44.637175,-123.310781,Sorex,trowbridgii,242
44.637175,-123.310781,Sorex,vagrans,108
44.637175,-123.310781,Scapanus,orarius,2
34.252058,-112.522733,Chaetodipus,baileyi,8
34.252058,-112.522733,Chaetodipus,intermedius,9
34.252058,-112.522733,Chaetodipus,penicillatus,8
34.252058,-112.522733,Dipodomys,merriami,13
34.252058,-112.522733,Perognathus,longimembris,4
34.252058,-112.522733,Sylvilagus,audubonii,1
34.252058,-112.522733,Neotoma,albigula,12
34.252058,-112.522733,Neotoma,lepida,1
34.252058,-112.522733,Peromyscus,eremicus,7
34.252058,-112.522733,Ammospermophilus,harrisii,13
34.252058,-112.522733,Spermophilus,tereticaudus,1
34.252058,-112.522733,Chaetodipus,baileyi,24
34.252058,-112.522733,Chaetodipus,intermedius,77
34.252058,-112.522733,Chaetodipus,penicillatus,10
34.252058,-112.522733,Dipodomys,merriami,34
34.252058,-112.522733,Perognathus,amplus,5
34.252058,-112.522733,Perognathus,longimembris,5
34.252058,-112.522733,Sylvilagus,audubonii,1
34.252058,-112.522733,Neotoma,albigula,46
34.252058,-112.522733,Neotoma,lepida,13
34.252058,-112.522733,Peromyscus,eremicus,22
34.252058,-112.522733,Ammospermophilus,harrisii,9
34.252058,-112.522733,Dipodomys,merriami,7
34.252058,-112.522733,Perognathus,amplus,10
34.252058,-112.522733,Peromyscus,eremicus,3
34.252058,-112.522733,Ammospermophilus,harrisii,1
34.252058,-112.522733,Dipodomys,merriami,2
34.252058,-112.522733,Sylvilagus,floridanus,1
34.252058,-112.522733,Neotoma,albigula,29
34.252058,-112.522733,Neotoma,lepida,1
34.252058,-112.522733,Neotoma,stephensi,1
34.252058,-112.522733,Onychomys,torridus,2
34.252058,-112.522733,Peromyscus,eremicus,14
34.252058,-112.522733,Peromyscus,maniculatus,2
34.252058,-112.522733,Chaetodipus,intermedius,2
34.252058,-112.522733,Dipodomys,merriami,1
34.252058,-112.522733,Dipodomys,ordii,1
34.252058,-112.522733,Neotoma,albigula,2
34.252058,-112.522733,Neotoma,lepida,1
34.252058,-112.522733,Peromyscus,eremicus,3
34.252058,-112.522733,Tamias,dorsalis,1
34.252058,-112.522733,Dipodomys,ordii,2
34.252058,-112.522733,Sylvilagus,audubonii,1
34.252058,-112.522733,Sylvilagus,floridanus,1
34.252058,-112.522733,Neotoma,albigula,9
34.252058,-112.522733,Neotoma,lepida,1
34.252058,-112.522733,Neotoma,stephensi,1
34.252058,-112.522733,Peromyscus,leucopus,1
34.252058,-112.522733,Peromyscus,maniculatus,1
34.252058,-112.522733,Neotoma,albigula,4
34.252058,-112.522733,Neotoma,lepida,3
34.252058,-112.522733,Peromyscus,eremicus,1
34.252058,-112.522733,Peromyscus,leucopus,1
34.252058,-112.522733,Chaetodipus,baileyi,1
34.252058,-112.522733,Chaetodipus,intermedius,5
34.252058,-112.522733,Dipodomys,merriami,4
34.252058,-112.522733,Ammospermophilus,harrisii,1
39.737758,-107.731454,Myodes,gapperi,33
39.737758,-107.731454,Microtus,longicaudus,5
39.737758,-107.731454,Microtus,montanus,19
39.737758,-107.731454,Peromyscus,maniculatus,86
39.737758,-107.731454,Tamias,minimus,107
39.737758,-107.731454,Myodes,gapperi,57
39.737758,-107.731454,Microtus,longicaudus,17
39.737758,-107.731454,Microtus,montanus,7
39.737758,-107.731454,Peromyscus,maniculatus,76
39.737758,-107.731454,Tamias,minimus,138
39.737758,-107.731454,Myodes,gapperi,140
39.737758,-107.731454,Microtus,longicaudus,5
39.737758,-107.731454,Microtus,montanus,7
39.737758,-107.731454,Peromyscus,maniculatus,90
39.737758,-107.731454,Tamias,minimus,59
39.737758,-107.731454,Myodes,gapperi,126
39.737758,-107.731454,Microtus,longicaudus,10
39.737758,-107.731454,Microtus,montanus,5
39.737758,-107.731454,Peromyscus,maniculatus,78
39.737758,-107.731454,Tamias,minimus,95
39.737758,-107.731454,Myodes,gapperi,121
39.737758,-107.731454,Microtus,longicaudus,7
39.737758,-107.731454,Microtus,montanus,10
39.737758,-107.731454,Peromyscus,maniculatus,119
39.737758,-107.731454,Tamias,minimus,57
44.837728,-115.787619,Thomomys,talpoides,
44.837728,-115.787619,Microtus,richardsoni,
44.837728,-115.787619,Myodes,gapperi,12
44.837728,-115.787619,Peromyscus,maniculatus,26
44.837728,-115.787619,Mustela,frenata,
44.837728,-115.787619,Glaucomys,sabrinus,
44.837728,-115.787619,Tamias,amoenus,31.5
44.837728,-115.787619,Sorex,spp.,4
44.837728,-115.787619,Thomomys,talpoides,
44.837728,-115.787619,Microtus,richardsoni,
44.837728,-115.787619,Myodes,gapperi,14.7
44.837728,-115.787619,Peromyscus,maniculatus,25
44.837728,-115.787619,Mustela,frenata,
44.837728,-115.787619,Glaucomys,sabrinus,
44.837728,-115.787619,Tamias,amoenus,18.7
44.837728,-115.787619,Sorex,spp.,2.7
